,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
240,AAPL,20190117,155.86,154.2,157.66,153.26,154.94,0.59,29821161,4621513849.37,154.97
241,AAPL,20190116,154.94,153.08,155.88,153.0,153.07,1.22,30569708,4737075837.74,154.96
242,AAPL,20190115,153.07,150.27,153.39,150.05,150.0,2.05,28710325,4374227599.12,152.36
243,AAPL,20190114,150.0,150.85,151.27,149.22,152.29,-1.5,32439188,4866264550.73,150.01
244,AAPL,20190111,152.29,152.88,153.7,151.51,153.8,-0.98,27023243,4118223330.93,152.4
245,AAPL,20190110,153.8,152.5,153.97,150.86,153.31,0.32,35780672,5464213121.88,152.71
246,AAPL,20190109,153.31,151.29,154.53,149.63,150.75,1.7,45099083,6898514033.46,152.96
247,AAPL,20190108,150.75,149.56,151.82,148.52,147.93,1.91,41025313,6159076907.78,150.13
248,AAPL,20190107,147.93,148.7,148.83,145.9,148.26,-0.22,54777766,8071925608.9,147.36
249,AAPL,20190104,148.26,144.53,148.55,143.8,142.19,4.27,58607071,8605786116.45,146.84
250,AAPL,20190103,142.19,143.98,145.72,142.0,157.92,-9.96,91312188,13108586866.81,143.56
251,AAPL,20190102,157.92,154.89,158.85,154.23,157.74,0.11,37039739,5814198206.33,156.97
252,AAPL,20181231,157.74,158.53,159.36,156.48,156.23,0.97,35003465,5519549731.33,157.69
253,AAPL,20181228,156.23,157.5,158.52,154.55,156.15,0.05,42291426,6614560879.53,156.4
254,AAPL,20181227,156.15,155.84,156.77,150.07,157.17,-0.65,53117067,8136748531.81,153.19
255,AAPL,20181226,157.17,148.3,157.23,146.72,146.83,7.04,58582543,8873275760.37,151.47
256,AAPL,20181224,146.83,148.15,151.55,146.59,150.73,-2.59,37169231,5530332196.8,148.79
257,AAPL,20181221,150.73,156.86,158.16,149.63,156.83,-3.89,95744375,14660206360.13,153.12
258,AAPL,20181220,156.83,160.4,162.11,155.3,160.89,-2.52,64772961,10261857790.33,158.43
259,AAPL,20181219,160.89,166.0,167.45,159.09,166.07,-3.12,49047297,8010198547.39,163.32
260,AAPL,20181218,166.07,165.38,167.53,164.39,163.94,1.3,33841520,5614460454.84,165.9
261,AAPL,20181217,163.94,165.45,168.35,162.73,165.48,-0.93,44287922,7330656869.71,165.52
262,AAPL,20181214,165.48,169.0,169.08,165.28,170.95,-3.2,40703711,6783558364.13,166.66
263,AAPL,20181213,170.95,170.49,172.57,169.55,169.1,1.09,31897829,5453875172.48,170.98
264,AAPL,20181212,169.1,170.4,171.92,169.02,168.63,0.28,35627676,6068572498.88,170.33
265,AAPL,20181211,168.63,171.66,171.79,167.0,169.6,-0.57,47281665,7988152194.75,168.95
266,AAPL,20181210,169.6,165.0,170.09,163.33,168.49,0.66,62025993,10353063039.26,166.91
267,AAPL,20181207,168.49,173.49,174.49,168.3,174.72,-3.57,42281633,7207035417.91,170.45
268,AAPL,20181206,174.72,171.76,174.78,170.42,176.69,-1.11,43098411,7431739148.4,172.44
269,AAPL,20181204,176.69,180.95,182.39,176.27,184.82,-4.4,41344282,7390476870.21,178.75
270,AAPL,20181203,184.82,184.46,184.94,181.21,178.58,3.49,40798004,7463966273.2,182.95
271,AAPL,20181130,178.58,180.29,180.33,177.03,179.55,-0.54,39531551,7048293698.17,178.3
